scientific-name,family-name,abundance
Scirpus holoschoenus,Cyperacées,CC
Scirpus maritimus,Cyperacées,CC
Schoenus nigricans,Cyperacées,AC
Carex hispida,Cyperacées,C
Carex flacca,Cyperacées,AC
Allium roseum,Liliacées,C
Forskohlea tenacissima,Urticacées,RR
Halocnemum strobilaceum,Chenopodiacées,C
Noaea mucronata,Chenopodiacées,AC
Traganum nudatum,Chenopodiacées,C
Gisekia pharnaceoides,Aizoacées,R
Herniaria mauritanica,Caryophyllacées,AC
Delphinium orientale,Renonculacées,AC
Cleome arabica ssp. arabica,Capparidacées,CC
Erucaria uncata,Crucifères,AR
Diplotaxis virgata ssp. cossoniana,Crucifères,R
Ammosperma cinereum,Crucifères,AR
Neurada procumbens,Rosacées,C
Rosa agrestis,Rosacées,RR
Retama retam,Legumineuses,C
Ononis natrix ssp. polydada,Legumineuses,AC
Argyrolobium uniflorum,Legumineuses,AC
Astragalus sinaicus,Legumineuses,AR
Fagonia giutinosa,Zygophyllacées,CC
Euphorbia retusa,Euphorbiacées,C
Euphorbia guyoniana,Euphorbiacées,CC
Daucus sahariensis,Ombellifères,C
Tamarix balansae,Tamaricacées,AR
Limonium sinuatum ssp. bonduelli,Plumbaginacées,CC
Limonium pruinosum,Plumbaginacées,C
Salvia aegyptiaca,Labiées,C
Saccocalyx satureioides,Labiées,R
Lycium arabicum,Solanacées,AC
Datura meteloides,Solanacées,AR
Scrofularia hypericifolia,Scrofulariacées,CC
Plantago notata,Plantaginacées,R
Ifloga spicata,Synantheracées,CC
Brocchia cinerea,Synantheracées,CC
Centaurea microcarpa,Synantheracées,R
